constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,cong_voteshare,others_voteshare,tmc_minus_bjp_margin,winner,total_votes
256,0.4205,0.4731,0.0,0.0792,0.0272,-0.0526,bjp,224123
257,0.4473,0.4804,0.0578,0.0,0.0146,-0.0331,bjp,218453
258,0.4201,0.4725,0.0757,0.0,0.0317,-0.0524,bjp,207739
259,0.4785,0.3826,0.1052,0.0,0.0336,0.0959,tmc,217897
260,0.4432,0.4038,0.1137,0.0,0.0393,0.0394,tmc,205345
261,0.4746,0.3951,0.1105,0.0,0.0198,0.0795,tmc,229166
262,0.4693,0.3824,0.1185,0.0,0.0299,0.0869,tmc,206690
263,0.5045,0.3524,0.1273,0.0,0.0158,0.1521,tmc,209036
264,0.4598,0.424,0.091,0.0,0.0253,0.0358,tmc,208951
265,0.4792,0.3737,0.1171,0.0,0.03,0.1055,tmc,218802
266,0.4597,0.3883,0.1283,0.0,0.0237,0.0714,tmc,241925
267,0.5044,0.3562,0.0915,0.0,0.0478,0.1482,tmc,214168
268,0.4908,0.41,0.0,0.0699,0.0293,0.0808,tmc,215353
269,0.4352,0.4037,0.1325,0.0,0.0286,0.0315,tmc,212343
270,0.4807,0.4399,0.0,0.0578,0.0216,0.0408,tmc,224459
271,0.4655,0.4066,0.0933,0.0,0.0346,0.0589,tmc,215317
272,0.4951,0.3923,0.0772,0.0,0.0354,0.1028,tmc,217329
273,0.4625,0.408,0.094,0.0,0.0355,0.0545,tmc,217080
274,0.4921,0.4055,0.0765,0.0,0.0259,0.0866,tmc,222538
275,0.4499,0.4268,0.0742,0.0,0.049,0.0231,tmc,164291
276,0.4116,0.3921,0.1508,0.0,0.0454,0.0195,tmc,192674
277,0.3886,0.4631,0.0,0.0916,0.0567,-0.0745,bjp,196902
278,0.429,0.4095,0.119,0.0,0.0425,0.0195,tmc,182211
279,0.4259,0.3776,0.1489,0.0,0.0476,0.0483,tmc,166703
280,0.4282,0.4513,0.082,0.0,0.0385,-0.0231,bjp,194737
281,0.5232,0.4138,0.0,0.0,0.063,0.1094,tmc,192907
282,0.4602,0.4641,0.0,0.0332,0.0425,-0.0039,bjp,174767
283,0.5226,0.384,0.0,0.053,0.0404,0.1386,tmc,169207
284,0.4605,0.4794,0.0294,0.0,0.0307,-0.0189,bjp,204599
285,0.4843,0.4508,0.0,0.0378,0.027,0.0335,tmc,218590
286,0.5057,0.4089,0.0,0.0,0.0854,0.0968,tmc,230260
287,0.4764,0.4481,0.0547,0.0,0.0208,0.0283,tmc,235328
288,0.5114,0.4266,0.0306,0.0,0.0315,0.0848,tmc,212027
289,0.4984,0.4297,0.0467,0.0,0.0252,0.0687,tmc,221866
290,0.5036,0.443,0.0,0.0,0.0534,0.0606,tmc,199425
291,0.4752,0.4362,0.0539,0.0,0.0347,0.039,tmc,217323
292,0.5142,0.2739,0.0,0.189,0.0229,0.2403,tmc,210606
293,0.5654,0.2915,0.1027,0.0,0.0404,0.2739,tmc,207696
294,0.6723,0.2214,0.0,0.0793,0.027,0.4509,tmc,217917
